title,address,price,beds,baths,sqft,url,type
Ground floor two bedroom apartment with private patio,"Cecil Grove, Primrose Hill, NW8","£1,475,000",2bed,2bath,893 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/ground-floor-two-bedroom-apartment-with-private-patio-lob700981,sale
Charming light maisonette on a Belgravia mews with investment appeal.,"Bowland Yard, Belgravia, SW1X","£1,950,000",3bed,2bath,"1,379 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/charming-light-maisonette-on-a-belgravia-mews-with-investment-appeal-lob754022,sale
A bright and modern one bedroom fifth-floor apartment.,"Abbey Road, St John's Wood, NW8","£775,000",1bed,1bath,667 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-bright-and-modern-one-bedroom-fifth-floor-apartment-lob753689,sale
"Exceptional penthouse with terrace, lift, parking and Hyde Park views.","Lancaster Terrace, Bayswater, W2","£3,500,000",5bed,3bath,"2,439 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/exceptional-penthouse-with-terrace-lift-parking-hyde-park-views-lob753849,sale
Grade II listed Knightsbridge townhouse overlooking Ovington Square.,"Ovington Square, Knightsbridge, SW3","£8,250,000",5bed,4bath,"4,400 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/grade-ii-listed-knightsbridge-townhouse-overlooking-ovington-square-lob763169,sale
First-floor Mayfair apartment within classic red-brick corner building.,"South Audley Street, Mayfair, W1K","£5,500,000",2bed,2bath,"1,321 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/first-floor-mayfair-apartment-within-classic-red-brick-corner-building-lob744835,sale
"A charming, beautifully refurbished freehold Belgravia townhouse.","Little Chester Street, Belgravia, SW1X","£2,950,000",3bed,2bath,"1,401 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-charming-and-beautifully-refurbished-freehold-belgravia-townhouse-lob745050,sale
An exceptional four bedroom townhouse in Belgravia.,"Little Chester Street, Belgravia, SW1X","£7,500,000",4bed,3bath,"2,800 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-exceptional-four-bedroom-townhouse-in-belgravia-lob570717,sale
Charming mews house on cobbled Paddington cul-de-sac.,"Junction Mews, Paddington, W2","£1,950,000",2bed,1bath,"1,040 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/charming-mews-house-on-cobbled-paddington-cul-de-sac-lob736725,sale
One bedroom apartment with balcony in St John’s Wood.,"One St John's Wood, St John's Wood, NW8","£1,250,000",1bed,1bath,430 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-with-balcony-in-st-johns-wood-lob727167,sale
Quietly positioned apartment with generous internal layout.,"Park Modern, Bayswater, W2","£3,800,000",2bed,2bath,"1,404 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/quietly-positioned-apartment-with-generous-internal-layout-lob703488,sale
Light filled two bedroom apartment with multiple private balconies.,"Park Modern, Bayswater, W2","£4,750,000",2bed,2bath,"1,077 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/light-filled-two-bedroom-apartment-with-multiple-private-balconies-lob703618,sale
Light filled corner apartment with sweeping private terraces.,"Park Modern, Bayswater, W2","£10,500,000",3 bed,3 bath,"2,351 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/light-filled-corner-apartment-with-sweeping-private-terraces-lob703621,sale
Newly built sub-penthouse overlooking Hyde Park.,"Park Modern, Bayswater, W2","£42,000,000",5 bed,5 bath,"5,581 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/newly-built-sub-penthouse-overlooking-hyde-park-lob703622,sale
Refurbished detached family house on private Holland Park street.,"Somerset Square, Holland Park, W14","£12,950,000",5 bed,5 bath,"6,357 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/refurbished-detached-family-house-on-private-holland-park-street-lob725636,sale
An elegant red-brick townhouse in prime Kensington location.,"Kensington Court, Kensington, W8","£16,750,000",6 bed,7 bath,"6,325 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-elegant-red-brick-townhouse-in-prime-kensington-location-lob635195,sale
Grade II listed building near Marylebone High Street.,"New Cavendish Street, Marylebone, W1G","£5,450,000",8 bed,6 bath,"4,294 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/grade-ii-listed-building-near-marylebone-high-street-lob706500,sale
"Spacious, upper floor lateral apartment overlooking Regent’s Park.","Abbey Lodge, St John's Wood, NW8","£5,500,000",6 bed,5 bath,"2,655 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/spacious-upper-floor-lateral-apartment-overlooking-regents-park-lob726437,sale
Detached gated residence with Japanese pavilion and garden.,"Bracknell Gardens, Hampstead, NW3","£11,250,000",8 bed,6 bath,"7,549 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/detached-gated-residence-with-japanese-pavilion-and-garden-lob655557,sale
Two bedroom apartment with terrace and underground parking.,"Cecil Grove, St John's Wood, NW8","£1,250,000",2 bed,1 bath,736 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/two-bedroom-apartment-with-terrace-and-underground-parking-lob701005,sale
One bedroom apartment with private balcony.,"Cecil Grove, St John's Wood, NW8","£800,000",1 bed,1 bath,583 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-with-private-balcony-lob700989,sale
Three bedroom apartment with private balcony and parking.,"Cecil Grove, St John's Wood, NW8","£1,750,000",3 bed,2 bath,"1,049 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/three-bedroom-apartment-with-private-balcony-and-parking-lob700986,sale
Newly refurbished fifth-floor apartment in landmark Harley House.,"Harley House, Marylebone, NW1","£5,500,000",3 bed,3 bath,"2,430 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/newly-refurbished-fifth-floor-apartment-in-landmark-harley-house-lob705601,sale
A stylishly presented four bedroom apartment.,"Lancaster Gate, Bayswater, W2","£5,950,000",4 bed,4 bath,"3,327 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-stylishly-presented-four-bedroom-apartment-lob702754,sale
A newly refurbished lateral apartment with views of Hyde Park.,"Wellington Court, Knightsbridge, SW1X","£7,750,000",4 bed,2 bath,"2,150 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-newly-refurbished-lateral-apartment-with-views-of-hyde-park-lob701853,sale
An impeccable home in a prestigious Knightsbridge building.,"Princes Gate, Knightsbridge, SW7","£27,000,000",4 bed,5 bath,"4,379 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-impeccable-residence-in-one-of-londons-most-prestigious-buildings-lob635063,sale
Elegant triplex maisonette on North Row.,"North Row, Mayfair, W1K","£2,350,000",2 bed,2 bath,"1,250 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/elegant-triplex-maisonette-on-north-row-lob634277,sale
"Exceptional townhouse with a cinema, lift and a private roof terrace.","Half Moon Street, Mayfair, W1J","£14,000,000",5 bed,5 bath,"5,019 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/exceptional-townhouse-with-a-cinema-lift-and-a-private-roof-terrace-lob605693,sale
One bedroom apartment within a prestigious new development.,"Cleveland Street, Fitzrovia, W1T","£1,550,000",1 bed,1 bath,711 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-within-a-prestigious-new-development-lob701370,sale
Three bedroom duplex in super prime One Hyde Park Knightsbridge.,"Knightsbridge, Knightsbridge, SW1X","£20,500,000",3 bed,3 bath,"3,478 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/three-bedroom-duplex-in-super-prime-one-hyde-park-knightsbridge-lob685954,sale
Lateral apartment in a distinguished period building.,"North Audley Street, Mayfair, W1K","£8,950,000",3 bed,3 bath,"2,563 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/lateral-apartment-in-a-distinguished-period-building-lob685056,sale
A one bedroom flat in the 36-37 Hertford Street development.,"Hertford Street, Mayfair, W1J","£2,050,000",1 bed,1 bath,518 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-one-bedroom-flat-in-the-36-37-hertford-street-development-lob460581,sale
Elegant apartment overlooking Vincent Square.,"Vincent Square, Westminster, SW1P","£1,700,000",3 bed,2 bath,"1,191 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/elegant-apartment-overlooking-vincent-square-lob664448,sale
One bedroom apartment with balcony and park views.,"Prince Albert Road, St John's Wood, NW8","£650,000",1 bed,1 bath,550 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-with-balcony-and-park-views-lob655122,sale
One bedroom apartment in Marylebone with multiple balconies.,"Devonshire Place, Marylebone, W1G","£2,250,000",1 bed,1 bath,"1,014 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-in-marylebone-with-multiple-balconies-lob655445,sale
A substantial family apartment with views overlooking Regents Park.,"Park Road, St John's Wood, NW8","£7,500,000",6 bed,6 bath,"3,690 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-substantial-family-apartment-with-views-overlooking-regents-park-lob503125,sale
An exceptional freehold with granted planning permission.,"Homer Street, Marylebone, W1H","£1,999,950",3 bed,2 bath,"2,442 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-exceptional-freehold-with-granted-planning-permission-lob604914,sale
One bedroom apartment within the Islington Square development.,"Esther Anne Place, Islington, N1","£775,000",1 bed,1 bath,575 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-within-the-islington-square-development-lob634888,sale
Third floor apartment located in a boutique development in Mayfair.,"Charles Street, Mayfair, W1J","£3,000,000",1 bed,1 bath,638 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/third-floor-apartment-located-in-a-boutique-development-in-mayfair-lob366661,sale
Triplex penthouse with roof terrace at Battersea Power Station.,"Circus Road West, Battersea, SW11","£2,875,000",2 bed,2 bath,"1,342 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/triplex-penthouse-with-roof-terrace-at-battersea-power-station-lob634986,sale
Duplex apartment on Wilton Crescent with private patio.,"Wilton Crescent, Belgravia, SW1X","£6,200,000",3 bed,3 bath,"2,545 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/duplex-apartment-on-wilton-crescent-with-private-patio-lob630834,sale
A beautifully presented end of terrace house in Holland Park.,"Ladbroke Terrace, Notting Hill, W11","£22,500,000",6 bed,6 bath,"7,945 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-beautifully-presented-end-of-terrace-house-lob604723,sale
Ninth-floor apartment with iconic views over Lord’s and London.,"St. Johns Wood Road, St John's Wood, NW8","£1,300,000",3 bed,2 bath,948 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/ninth-floor-apartment-with-iconic-views-over-lords-and-london-lob602082,sale
Architect-designed family house behind private electric gates.,"Adelaide Road, Belsize Park, NW3","£2,750,000",4 bed,3 bath,"3,042 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/architect-designed-family-house-behind-private-electric-gates-lob602726,sale
Luxury New Development - A two bedroom apartment with large private terrace on central Mayfair's only gated street.,"Three Kings Yard, Mayfair, W1K","£3,995,000",2 bed,2 bath,"1,251 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/luxury-new-development-a-two-bedroom-apartment-with-large-private-terrace-on-central-mayfairs-only-gated-street-lob366693,sale
"Three bedroom apartment with balcony, pool and parking.","Abbey Road, St John's Wood, NW8","£1,350,000",3 bed,2 bath,"1,170 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/three-bedroom-apartment-with-balcony-pool-and-parking-lob367894,sale
Belgravia residence with grand interiors and Belgrave Square views.,"West Halkin Street, Belgravia, SW1X","£12,950,000",5 bed,5 bath,"3,939 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/belgravia-residence-with-grand-interiors-and-belgrave-square-views-lob593406,sale
An exceptional family house in one of London's finest addresses.,"Phillimore Gardens, Kensington, W8","£19,950,000",5 bed,4 bath,"5,123 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-exceptional-family-house-in-one-of-londons-finest-addresses-lob588547,sale
